tier,model,frac_correct_bucket,n_samples
hard_multi_entry,lora_base,0%,0
hard_multi_entry,lora_base,0-25%,12
hard_multi_entry,lora_base,25-50%,16
hard_multi_entry,lora_base,50-75%,44
hard_multi_entry,lora_base,75-99%,113
hard_multi_entry,lora_base,100%,22
hard_multi_entry,y2_base,0%,2
hard_multi_entry,y2_base,0-25%,16
hard_multi_entry,y2_base,25-50%,29
hard_multi_entry,y2_base,50-75%,42
hard_multi_entry,y2_base,75-99%,96
hard_multi_entry,y2_base,100%,22
hard_multi_entry,y2_rpe_cur_L16k,0%,0
hard_multi_entry,y2_rpe_cur_L16k,0-25%,5
hard_multi_entry,y2_rpe_cur_L16k,25-50%,14
hard_multi_entry,y2_rpe_cur_L16k,50-75%,53
hard_multi_entry,y2_rpe_cur_L16k,75-99%,100
hard_multi_entry,y2_rpe_cur_L16k,100%,35
single_entry_ref,lora_base,0%,0
single_entry_ref,lora_base,0-25%,0
single_entry_ref,lora_base,25-50%,0
single_entry_ref,lora_base,50-75%,2
single_entry_ref,lora_base,75-99%,8
single_entry_ref,lora_base,100%,10
single_entry_ref,y2_base,0%,0
single_entry_ref,y2_base,0-25%,0
single_entry_ref,y2_base,25-50%,1
single_entry_ref,y2_base,50-75%,3
single_entry_ref,y2_base,75-99%,6
single_entry_ref,y2_base,100%,10
single_entry_ref,y2_rpe_cur_L16k,0%,0
single_entry_ref,y2_rpe_cur_L16k,0-25%,0
single_entry_ref,y2_rpe_cur_L16k,25-50%,0
single_entry_ref,y2_rpe_cur_L16k,50-75%,1
single_entry_ref,y2_rpe_cur_L16k,75-99%,9
single_entry_ref,y2_rpe_cur_L16k,100%,10
