condition,bin,K,head_set,recall,recall_any,recall_all
lora_base,0k,3,own_top16,0.0638,1.0000,0.0000
lora_base,0k,3,published_top16,0.0638,1.0000,0.0000
lora_base,0k,5,own_top16,0.1063,1.0000,0.0000
lora_base,0k,5,published_top16,0.1063,1.0000,0.0000
lora_base,0k,10,own_top16,0.2125,1.0000,0.0000
lora_base,0k,10,published_top16,0.2125,1.0000,0.0000
y2_base,0k,3,own_top16,0.0638,1.0000,0.0000
y2_base,0k,3,published_top16,0.0638,1.0000,0.0000
y2_base,0k,5,own_top16,0.1063,1.0000,0.0000
y2_base,0k,5,published_top16,0.1063,1.0000,0.0000
y2_base,0k,10,own_top16,0.2125,1.0000,0.0000
y2_base,0k,10,published_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,0k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,0k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,0k,5,own_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,0k,5,published_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,0k,10,own_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,0k,10,published_top16,0.2125,1.0000,0.0000
lora_base,1k,3,own_top16,0.0913,0.5536,0.0000
lora_base,1k,3,published_top16,0.0918,0.5714,0.0000
lora_base,1k,5,own_top16,0.1450,0.6964,0.0000
lora_base,1k,5,published_top16,0.1432,0.6964,0.0000
lora_base,1k,10,own_top16,0.2672,0.8750,0.0179
lora_base,1k,10,published_top16,0.2834,0.8750,0.0357
y2_base,1k,3,own_top16,0.0909,0.5357,0.0000
y2_base,1k,3,published_top16,0.1008,0.5714,0.0000
y2_base,1k,5,own_top16,0.1415,0.6964,0.0000
y2_base,1k,5,published_top16,0.1361,0.6429,0.0000
y2_base,1k,10,own_top16,0.2557,0.8393,0.0357
y2_base,1k,10,published_top16,0.2524,0.8214,0.0357
y2_rpe_cur_L16k,1k,3,own_top16,0.1023,0.5714,0.0000
y2_rpe_cur_L16k,1k,3,published_top16,0.0880,0.5179,0.0000
y2_rpe_cur_L16k,1k,5,own_top16,0.1339,0.6786,0.0000
y2_rpe_cur_L16k,1k,5,published_top16,0.1466,0.6607,0.0000
y2_rpe_cur_L16k,1k,10,own_top16,0.2801,0.8571,0.0357
y2_rpe_cur_L16k,1k,10,published_top16,0.2704,0.8571,0.0179
lora_base,2k,3,own_top16,0.0638,1.0000,0.0000
lora_base,2k,3,published_top16,0.0638,1.0000,0.0000
lora_base,2k,5,own_top16,0.1063,1.0000,0.0000
lora_base,2k,5,published_top16,0.1058,1.0000,0.0000
lora_base,2k,10,own_top16,0.2106,1.0000,0.0000
lora_base,2k,10,published_top16,0.2060,1.0000,0.0000
y2_base,2k,3,own_top16,0.0638,1.0000,0.0000
y2_base,2k,3,published_top16,0.0638,1.0000,0.0000
y2_base,2k,5,own_top16,0.1063,1.0000,0.0000
y2_base,2k,5,published_top16,0.1040,1.0000,0.0000
y2_base,2k,10,own_top16,0.2074,1.0000,0.0000
y2_base,2k,10,published_top16,0.1945,1.0000,0.0000
y2_rpe_cur_L16k,2k,3,own_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,2k,3,published_top16,0.0638,1.0000,0.0000
y2_rpe_cur_L16k,2k,5,own_top16,0.1063,1.0000,0.0000
y2_rpe_cur_L16k,2k,5,published_top16,0.1058,1.0000,0.0000
y2_rpe_cur_L16k,2k,10,own_top16,0.2125,1.0000,0.0000
y2_rpe_cur_L16k,2k,10,published_top16,0.2097,1.0000,0.0000
lora_base,4k,3,own_top16,0.0638,1.0000,0.0000
