zone,bin,row_in_cell,original_idx,tier,object,answer,question,target_entries,n_facts,min_fact_pos,max_fact_pos,mean_fact_pos,first_fact_pos,last_fact_pos,zone_pct,token_count,bin_tokens
beg,1k,0,3,hard_multi_entry,football,bathroom,Where was the football before the garden?,2,52,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1073,1024
beg,1k,1,4,hard_multi_entry,football,bathroom,Where was the football before the garden?,2,54,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1073,1024
beg,1k,2,21,hard_multi_entry,football,garden,Where was the football before the office?,2,40,0.0,0.05263157894736842,0.030263157894736843,0.0,0.05263157894736842,"[0.0, 0.33]",1074,1024
beg,1k,3,22,hard_multi_entry,football,hallway,Where was the football before the garden?,2,42,0.0,0.125,0.07142857142857142,0.0,0.125,"[0.0, 0.33]",1074,1024
beg,1k,4,25,hard_multi_entry,football,bathroom,Where was the football before the bedroom?,2,38,0.0,0.125,0.0668859649122807,0.0,0.125,"[0.0, 0.33]",1073,1024
beg,1k,5,35,single_entry_ref,unknown,hallway,Where was the apple before the bathroom?,0,42,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,6,47,single_entry_ref,unknown,bedroom,Where was the apple before the bathroom?,0,32,0.0,0.11764705882352941,0.05698529411764706,0.0,0.11764705882352941,"[0.0, 0.33]",1074,1024
beg,1k,7,57,hard_multi_entry,football,office,Where was the football before the garden?,2,22,0.0,0.22727272727272727,0.10537190082644629,0.0,0.22727272727272727,"[0.0, 0.33]",1073,1024
beg,1k,8,60,hard_multi_entry,football,hallway,Where was the football before the bedroom?,2,18,0.02857142857142857,0.17142857142857143,0.08888888888888889,0.02857142857142857,0.17142857142857143,"[0.0, 0.33]",1074,1024
beg,1k,9,64,hard_multi_entry,football,garden,Where was the football before the bathroom?,3,44,0.0,0.058823529411764705,0.026737967914438502,0.0,0.058823529411764705,"[0.0, 0.33]",1074,1024
beg,1k,10,76,hard_multi_entry,milk,hallway,Where was the milk before the office?,2,30,0.0,0.19047619047619047,0.07936507936507936,0.0,0.19047619047619047,"[0.0, 0.33]",1074,1024
beg,1k,11,95,hard_multi_entry,apple,kitchen,Where was the apple before the hallway?,2,28,0.0,0.35714285714285715,0.1645408163265306,0.0,0.35714285714285715,"[0.0, 0.33]",1074,1024
beg,1k,12,98,hard_multi_entry,milk,bedroom,Where was the milk before the bathroom?,2,42,0.0,0.05555555555555555,0.027777777777777773,0.0,0.05555555555555555,"[0.0, 0.33]",1074,1024
beg,1k,13,99,hard_multi_entry,milk,bathroom,Where was the milk before the bedroom?,2,44,0.0,0.038461538461538464,0.019230769230769232,0.0,0.038461538461538464,"[0.0, 0.33]",1074,1024
beg,1k,14,106,hard_multi_entry,football,garden,Where was the football before the hallway?,3,18,0.0,0.3157894736842105,0.14327485380116958,0.0,0.3157894736842105,"[0.0, 0.33]",1074,1024
beg,1k,15,107,hard_multi_entry,football,garden,Where was the football before the hallway?,3,20,0.0,0.12903225806451613,0.0532258064516129,0.0,0.12903225806451613,"[0.0, 0.33]",1074,1024
beg,1k,16,130,hard_multi_entry,milk,garden,Where was the milk before the kitchen?,2,56,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,17,136,single_entry_ref,unknown,garden,Where was the football before the kitchen?,0,16,0.0,0.2,0.11041666666666666,0.0,0.2,"[0.0, 0.33]",1074,1024
beg,1k,18,144,single_entry_ref,unknown,bathroom,Where was the football before the hallway?,0,50,0.0,0.025,0.013000000000000001,0.0,0.025,"[0.0, 0.33]",1074,1024
beg,1k,19,149,hard_multi_entry,milk,hallway,Where was the milk before the kitchen?,2,52,0.0,0.03333333333333333,0.016025641025641028,0.0,0.03333333333333333,"[0.0, 0.33]",1074,1024
beg,1k,20,162,single_entry_ref,unknown,office,Where was the football before the kitchen?,0,26,0.0,0.08333333333333333,0.0438034188034188,0.0,0.08333333333333333,"[0.0, 0.33]",1073,1024
beg,1k,21,163,hard_multi_entry,milk,garden,Where was the milk before the office?,2,28,0.0,0.20930232558139536,0.09551495016611296,0.0,0.20930232558139536,"[0.0, 0.33]",1074,1024
beg,1k,22,164,hard_multi_entry,milk,bathroom,Where was the milk before the bedroom?,2,30,0.0,0.20833333333333334,0.12083333333333333,0.0,0.20833333333333334,"[0.0, 0.33]",1074,1024
beg,1k,23,169,hard_multi_entry,milk,bedroom,Where was the milk before the kitchen?,2,38,0.0,0.1111111111111111,0.0594541910331384,0.0,0.1111111111111111,"[0.0, 0.33]",1074,1024
beg,1k,24,175,single_entry_ref,unknown,office,Where was the football before the bedroom?,0,4,0.0,0.14285714285714285,0.05357142857142857,0.0,0.14285714285714285,"[0.0, 0.33]",1073,1024
beg,1k,25,177,hard_multi_entry,football,kitchen,Where was the football before the garden?,2,16,0.0,0.18518518518518517,0.09722222222222221,0.0,0.18518518518518517,"[0.0, 0.33]",1074,1024
beg,1k,26,178,hard_multi_entry,football,kitchen,Where was the football before the garden?,2,20,0.0,0.28125,0.1828125,0.0,0.28125,"[0.0, 0.33]",1073,1024
beg,1k,27,179,hard_multi_entry,football,hallway,Where was the football before the bedroom?,3,34,0.0,0.15,0.07058823529411765,0.0,0.15,"[0.0, 0.33]",1074,1024
beg,1k,28,196,hard_multi_entry,apple,bathroom,Where was the apple before the office?,2,48,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,29,198,hard_multi_entry,apple,bathroom,Where was the apple before the office?,2,52,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,30,201,hard_multi_entry,milk,bedroom,Where was the milk before the garden?,2,48,0.0,0.05555555555555555,0.03125,0.0,0.05555555555555555,"[0.0, 0.33]",1074,1024
beg,1k,31,203,hard_multi_entry,milk,bedroom,Where was the milk before the garden?,2,52,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,32,209,hard_multi_entry,milk,garden,Where was the milk before the kitchen?,2,34,0.0,0.15,0.07205882352941177,0.0,0.15,"[0.0, 0.33]",1074,1024
beg,1k,33,228,hard_multi_entry,apple,hallway,Where was the apple before the bedroom?,3,36,0.0,0.28,0.12666666666666668,0.0,0.28,"[0.0, 0.33]",1074,1024
beg,1k,34,240,hard_multi_entry,football,bathroom,Where was the football before the bedroom?,2,54,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,35,275,hard_multi_entry,football,office,Where was the football before the bedroom?,2,30,0.0,0.18518518518518517,0.1074074074074074,0.0,0.18518518518518517,"[0.0, 0.33]",1073,1024
beg,1k,36,276,hard_multi_entry,football,kitchen,Where was the football before the garden?,2,32,0.0,0.19230769230769232,0.07692307692307693,0.0,0.19230769230769232,"[0.0, 0.33]",1074,1024
beg,1k,37,289,hard_multi_entry,milk,office,Where was the milk before the bedroom?,3,38,0.0,0.1,0.05087719298245614,0.0,0.1,"[0.0, 0.33]",1073,1024
beg,1k,38,295,hard_multi_entry,apple,bedroom,Where was the apple before the garden?,2,32,0.0,0.1875,0.0888671875,0.0,0.1875,"[0.0, 0.33]",1073,1024
beg,1k,39,297,hard_multi_entry,milk,kitchen,Where was the milk before the bathroom?,2,48,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1073,1024
beg,1k,40,325,single_entry_ref,unknown,bedroom,Where was the milk before the bathroom?,0,10,0.04,0.14,0.084,0.04,0.14,"[0.0, 0.33]",1073,1024
beg,1k,41,331,single_entry_ref,unknown,garden,Where was the milk before the bedroom?,0,32,0.0,0.25,0.13169642857142858,0.0,0.25,"[0.0, 0.33]",1074,1024
beg,1k,42,366,single_entry_ref,unknown,hallway,Where was the apple before the bedroom?,0,16,0.0,0.2682926829268293,0.12347560975609756,0.0,0.2682926829268293,"[0.0, 0.33]",1074,1024
beg,1k,43,368,hard_multi_entry,milk,kitchen,Where was the milk before the garden?,2,26,0.0,0.2692307692307692,0.14201183431952663,0.0,0.2692307692307692,"[0.0, 0.33]",1074,1024
beg,1k,44,369,hard_multi_entry,milk,kitchen,Where was the milk before the garden?,2,28,0.0,0.10526315789473684,0.06390977443609022,0.0,0.10526315789473684,"[0.0, 0.33]",1074,1024
beg,1k,45,378,hard_multi_entry,milk,bedroom,Where was the milk before the office?,2,46,0.0,0.0625,0.029891304347826088,0.0,0.0625,"[0.0, 0.33]",1074,1024
beg,1k,46,382,hard_multi_entry,milk,bathroom,Where was the milk before the hallway?,2,44,0.0,0.0625,0.03125,0.0,0.0625,"[0.0, 0.33]",1074,1024
beg,1k,47,391,hard_multi_entry,milk,kitchen,Where was the milk before the garden?,2,50,0.0,0.047619047619047616,0.03142857142857143,0.0,0.047619047619047616,"[0.0, 0.33]",1074,1024
beg,1k,48,401,hard_multi_entry,apple,garden,Where was the apple before the bathroom?,2,32,0.0,0.09523809523809523,0.04464285714285714,0.0,0.09523809523809523,"[0.0, 0.33]",1074,1024
beg,1k,49,402,hard_multi_entry,apple,hallway,Where was the apple before the office?,2,34,0.0,0.03333333333333333,0.01764705882352941,0.0,0.03333333333333333,"[0.0, 0.33]",1073,1024
beg,1k,50,417,single_entry_ref,unknown,garden,Where was the milk before the hallway?,0,12,0.0,0.09090909090909091,0.05303030303030303,0.0,0.09090909090909091,"[0.0, 0.33]",1074,1024
beg,1k,51,444,hard_multi_entry,football,hallway,Where was the football before the office?,2,54,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,52,448,hard_multi_entry,football,hallway,Where was the football before the garden?,2,44,0.0,0.1111111111111111,0.059764309764309756,0.0,0.1111111111111111,"[0.0, 0.33]",1073,1024
beg,1k,53,474,hard_multi_entry,football,kitchen,Where was the football before the garden?,2,44,0.0,0.07407407407407407,0.03535353535353535,0.0,0.07407407407407407,"[0.0, 0.33]",1074,1024
beg,1k,54,480,hard_multi_entry,apple,hallway,Where was the apple before the bathroom?,2,24,0.0,0.24242424242424243,0.125,0.0,0.24242424242424243,"[0.0, 0.33]",1073,1024
beg,1k,55,483,hard_multi_entry,apple,bathroom,Where was the apple before the hallway?,2,30,0.0,0.11764705882352941,0.05392156862745098,0.0,0.11764705882352941,"[0.0, 0.33]",1074,1024
beg,1k,56,524,hard_multi_entry,apple,bedroom,Where was the apple before the bathroom?,2,54,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,57,545,hard_multi_entry,milk,bathroom,Where was the milk before the office?,2,22,0.0,0.16,0.07454545454545454,0.0,0.16,"[0.0, 0.33]",1074,1024
beg,1k,58,559,hard_multi_entry,milk,garden,Where was the milk before the office?,2,48,0.0,0.05263157894736842,0.015350877192982455,0.0,0.05263157894736842,"[0.0, 0.33]",1074,1024
beg,1k,59,575,hard_multi_entry,football,hallway,Where was the football before the kitchen?,2,32,0.0,0.15789473684210525,0.05921052631578947,0.0,0.15789473684210525,"[0.0, 0.33]",1074,1024
beg,1k,60,576,hard_multi_entry,football,hallway,Where was the football before the kitchen?,2,34,0.0,0.2,0.11176470588235295,0.0,0.2,"[0.0, 0.33]",1073,1024
beg,1k,61,577,hard_multi_entry,football,kitchen,Where was the football before the hallway?,2,36,0.0,0.0625,0.03298611111111111,0.0,0.0625,"[0.0, 0.33]",1073,1024
beg,1k,62,578,hard_multi_entry,milk,hallway,Where was the milk before the kitchen?,2,40,0.0,0.10526315789473684,0.043421052631578944,0.0,0.10526315789473684,"[0.0, 0.33]",1073,1024
beg,1k,63,579,hard_multi_entry,milk,bedroom,Where was the milk before the office?,2,42,0.0,0.07142857142857142,0.044217687074829926,0.0,0.07142857142857142,"[0.0, 0.33]",1074,1024
beg,1k,64,592,hard_multi_entry,apple,office,Where was the apple before the kitchen?,2,36,0.0,0.10344827586206896,0.05555555555555555,0.0,0.10344827586206896,"[0.0, 0.33]",1073,1024
beg,1k,65,597,hard_multi_entry,milk,bathroom,Where was the milk before the hallway?,2,38,0.0,0.13636363636363635,0.06638755980861244,0.0,0.13636363636363635,"[0.0, 0.33]",1074,1024
beg,1k,66,601,hard_multi_entry,apple,garden,Where was the apple before the kitchen?,2,12,0.0,0.3191489361702128,0.14893617021276595,0.0,0.3191489361702128,"[0.0, 0.33]",1074,1024
beg,1k,67,607,hard_multi_entry,apple,hallway,Where was the apple before the kitchen?,2,50,0.0,0.05555555555555555,0.021111111111111112,0.0,0.05555555555555555,"[0.0, 0.33]",1074,1024
beg,1k,68,615,hard_multi_entry,apple,kitchen,Where was the apple before the hallway?,3,50,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,69,620,single_entry_ref,unknown,bathroom,Where was the milk before the kitchen?,0,24,0.0,0.19047619047619047,0.10317460317460318,0.0,0.19047619047619047,"[0.0, 0.33]",1074,1024
beg,1k,70,629,hard_multi_entry,milk,garden,Where was the milk before the kitchen?,2,42,0.0,0.2222222222222222,0.09788359788359788,0.0,0.2222222222222222,"[0.0, 0.33]",1074,1024
beg,1k,71,640,hard_multi_entry,apple,kitchen,Where was the apple before the office?,2,24,0.0,0.16666666666666666,0.07638888888888888,0.0,0.16666666666666666,"[0.0, 0.33]",1074,1024
beg,1k,72,641,hard_multi_entry,apple,kitchen,Where was the apple before the office?,2,26,0.0,0.2857142857142857,0.11904761904761904,0.0,0.2857142857142857,"[0.0, 0.33]",1074,1024
beg,1k,73,642,hard_multi_entry,apple,kitchen,Where was the apple before the office?,2,28,0.0,0.23076923076923078,0.13461538461538464,0.0,0.23076923076923078,"[0.0, 0.33]",1073,1024
beg,1k,74,643,hard_multi_entry,apple,bathroom,Where was the apple before the kitchen?,2,52,0.0,0.047619047619047616,0.02380952380952381,0.0,0.047619047619047616,"[0.0, 0.33]",1073,1024
beg,1k,75,645,hard_multi_entry,football,kitchen,Where was the football before the hallway?,2,32,0.0,0.15384615384615385,0.08533653846153846,0.0,0.15384615384615385,"[0.0, 0.33]",1074,1024
beg,1k,76,646,hard_multi_entry,football,kitchen,Where was the football before the hallway?,2,34,0.0,0.17857142857142858,0.08508403361344538,0.0,0.17857142857142858,"[0.0, 0.33]",1074,1024
beg,1k,77,648,hard_multi_entry,football,kitchen,Where was the football before the hallway?,2,48,0.0,0.09090909090909091,0.052083333333333336,0.0,0.09090909090909091,"[0.0, 0.33]",1074,1024
beg,1k,78,655,hard_multi_entry,milk,bedroom,Where was the milk before the office?,2,32,0.0,0.14285714285714285,0.09151785714285714,0.0,0.14285714285714285,"[0.0, 0.33]",1073,1024
beg,1k,79,656,hard_multi_entry,milk,bedroom,Where was the milk before the office?,2,34,0.0,0.06666666666666667,0.021568627450980392,0.0,0.06666666666666667,"[0.0, 0.33]",1074,1024
beg,1k,80,689,hard_multi_entry,football,office,Where was the football before the hallway?,2,44,0.0,0.05,0.026136363636363638,0.0,0.05,"[0.0, 0.33]",1073,1024
beg,1k,81,728,hard_multi_entry,milk,bathroom,Where was the milk before the office?,2,26,0.0,0.22727272727272727,0.11013986013986014,0.0,0.22727272727272727,"[0.0, 0.33]",1074,1024
beg,1k,82,735,hard_multi_entry,apple,bathroom,Where was the apple before the kitchen?,2,52,0.0,0.038461538461538464,0.014053254437869823,0.0,0.038461538461538464,"[0.0, 0.33]",1074,1024
beg,1k,83,736,hard_multi_entry,apple,bathroom,Where was the apple before the kitchen?,2,54,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.33]",1074,1024
beg,1k,84,740,single_entry_ref,unknown,office,Where was the milk before the bathroom?,0,34,0.0,0.125,0.05759803921568627,0.0,0.125,"[0.0, 0.33]",1072,1024
